query,Category,Topic
How are autoencoders used for anomaly detection?,DL,Autoencoders
How do autoencoders learn compressed representations?,DL,Autoencoders
How does the reparameterization trick work in VAEs?,DL,Autoencoders
What is a denoising autoencoder?,DL,Autoencoders
What is latent space interpolation?,DL,Autoencoders
What is the bottleneck layer in an autoencoder?,DL,Autoencoders
Why are sparse autoencoders useful?,DL,Autoencoders
What is backpropagation?,DL,Backpropagation
What are the benefits of using batch normalization when,DL,Batch Normalization
"What do you understand by the terms Batch, Iterations,",DL,Batch vs Iterations
Can you name the breakthrough project that garnered the,AI,Breakthrough Project
What do you understand by a computational graph?,DL,Computational Graph
What is Catastrophic Forgetting?,AI,Continual Learning
What is Continual Learning?,AI,Continual Learning
What is Incremental Learning?,AI,Continual Learning
Why do neural networks forget previously learned tasks?,AI,Continual Learning
How does Contrastive Learning work?,DL,Contrastive Learning
What are positive and negative samples in Contrastive Learning?,DL,Contrastive Learning
What is Contrastive Learning?,DL,Contrastive Learning
What is SimCLR?,DL,Contrastive Learning
Why is cross-entropy preferred as the cost function for,DL,Cross-entropy Cost Function
Explain the cross-entropy loss function.,DL,Cross-entropy Loss
To what kind of problems can the cross-entropy loss,DL,Cross-entropy Loss
How important is it to shuffle the training data when,DL,Data Shuffling
How can you generate a dataset on multiple cores in,DL,Dataset Generation
What is the benefit of shuffling a training dataset when,DL,Dataset Shuffling
How will you explain the success and recent rise in demand,AI,Deep Learning Demand
What has fostered the implementation and,AI,Deep Learning Implementation
How do Diffusion Models generate images?,DL,Diffusion Models
What are Diffusion Models?,DL,Diffusion Models
What is the forward process in Diffusion Models?,DL,Diffusion Models
What is the reverse process in Diffusion Models?,DL,Diffusion Models
Why are Diffusion Models preferred over GANs in some tasks?,DL,Diffusion Models
What are Parameter Servers in Distributed Training?,DL,Distributed Training
What is Data Parallelism?,DL,Distributed Training
What is Distributed Deep Learning?,DL,Distributed Training
What is Horovod?,DL,Distributed Training
What is Model Parallelism?,DL,Distributed Training
Why dropout is effective in deep networks?,DL,Dropout
What is Early Stopping and why is it useful?,DL,Early Stopping
Why are embeddings preferred over one-hot encoding?,DL,Embeddings
What do you understand by end-to-end learning?,DL,End-to-end Learning
How do Deep Learning Ensembles work?,DL,Ensemble Learning
What is Ensemble Learning in Deep Learning?,DL,Ensemble Learning
What is Snapshot Ensembling?,DL,Ensemble Learning
What is Stacking in Deep Learning?,DL,Ensemble Learning
Is there any difference between feature learning and,DL,Feature Learning
How does Few-Shot Learning work?,DL,Few-Shot Learning
What is Few-Shot Learning?,DL,Few-Shot Learning
What is One-Shot Learning?,DL,Few-Shot Learning
What is fine-tuning and how is it different from transfer,DL,Fine-tuning vs Transfer Learning
Explain the working of forwarding propagation and,DL,Forward Propagation
Compare full fine-tuning and LoRA fine-tuning.,NLP,Foundation Models
Explain few-shot learning in foundation models.,NLP,Foundation Models
Explain zero-shot learning in foundation models.,NLP,Foundation Models
How does parameter-efficient fine-tuning reduce training cost?,NLP,Foundation Models
What are emergent abilities in large language models?,NLP,Foundation Models
What is a foundation model?,NLP,Foundation Models
What is instruction tuning?,NLP,Foundation Models
What is supervised fine-tuning (SFT)?,NLP,Foundation Models
Why are large-scale pretraining datasets important?,NLP,Foundation Models
Why does model scaling improve performance?,DL,Foundation Models
What is a GAN and what are the different types of GAN,DL,GAN
What are the components of a General Adversarial,DL,GAN Components
Compare Vanilla GAN and Wasserstein GAN.,DL,GANs
Explain Conditional GANs with an example.,DL,GANs
Explain the minimax objective function of GANs.,DL,GANs
How can mode collapse be mitigated in GAN training?,DL,GANs
How does CycleGAN perform image-to-image translation?,CV,GANs
What evaluation metrics are commonly used for GANs?,DL,GANs
What is the Earth Mover's Distance used in WGANs?,DL,GANs
What is the role of the discriminator in a GAN?,DL,GANs
Why are GANs difficult to train?,DL,GANs
Why do GANs suffer from mode collapse?,DL,GANs
Compare Graph Convolutional Networks and Graph Attention Networks.,DL,Graph Neural Networks
Explain message passing in Graph Neural Networks.,DL,Graph Neural Networks
What is node classification in GNNs?,DL,Graph Neural Networks
What types of data are best represented as graphs?,AI,Graph Neural Networks
Why do GNNs suffer from over-smoothing?,DL,Graph Neural Networks
There is a neuron in the hidden layer that always results,DL,Hidden Layer Neuron
What is Bayesian Optimization?,ML,Hyperparameter Optimization
What is Grid Search in Deep Learning?,ML,Hyperparameter Optimization
What is Hyperparameter Optimization?,ML,Hyperparameter Optimization
What is Random Search for Hyperparameter Tuning?,ML,Hyperparameter Optimization
What is the impact on a model with an improperly set,ML,Improperly Set Model
How does Contrastive Loss work?,DL,Metric Learning
What is Metric Learning?,DL,Metric Learning
What is Triplet Loss?,DL,Metric Learning
Compare pruning and quantization.,DL,Model Compression
How does Knowledge Distillation work?,DL,Model Compression
How does Quantization improve inference speed?,DL,Model Compression
How does Weight Pruning reduce model size?,DL,Model Compression
How does knowledge distillation reduce model size?,DL,Model Compression
How does post-training quantization work?,DL,Model Compression
What is Dynamic Quantization?,DL,Model Compression
What is Knowledge Distillation?,DL,Model Compression
What is Model Compression?,DL,Model Compression
What is Neural Network Pruning?,DL,Model Compression
What is Quantization in Deep Learning?,DL,Model Compression
What is Static Quantization?,DL,Model Compression
What is Structured Pruning?,DL,Model Compression
What is Unstructured Pruning?,DL,Model Compression
What is a Student Model in Knowledge Distillation?,DL,Model Compression
What is a Teacher Model in Knowledge Distillation?,DL,Model Compression
What is structured pruning and why is it hardware-friendly?,DL,Model Compression
What trade-offs occur when compressing deep learning models?,DL,Model Compression
What is Checkpointing during training?,DL,Model Training
What is a Training Pipeline in Deep Learning?,DL,Model Training
Why do we save checkpoints while training neural networks?,DL,Model Training
How does Multi-Task Learning improve performance?,DL,Multi-Task Learning
What is Multi-Task Learning?,DL,Multi-Task Learning
Which loss function is preferred for multi-category,DL,Multi-category Loss Function
When is multi-task learning usually preferred?,DL,Multi-task Learning
How do Multimodal Models combine different data types?,DL,Multimodal Learning
What is a Multimodal Model?,DL,Multimodal Learning
What is Neural Architecture Search?,DL,Neural Architecture Search
Why is Neural Architecture Search important?,DL,Neural Architecture Search
Why is it important to introduce non-linearities in a,DL,Non-linearities
What is Online Learning in Neural Networks?,DL,Online Learning
"Compare SGD, Momentum, and Nesterov Momentum.",DL,Optimization
Explain cosine annealing learning rate scheduling.,DL,Optimization
How does RMSProp adapt learning rates?,DL,Optimization
How does gradient clipping prevent exploding gradients?,DL,Optimization
What causes oscillation during gradient descent?,ML,Optimization
What is the purpose of the learning rate?,ML,Optimization
What is warm-up in deep learning training?,DL,Optimization
What is weight decay and how does it help generalization?,ML,Optimization
Why can large learning rates prevent convergence?,ML,Optimization
Why is Adam often preferred for deep networks?,DL,Optimization
Why is optimization harder in very deep networks?,DL,Optimization
Can you explain the parameter sharing concept in deep learning?,DL,Parameter Sharing
Explain the working of a perceptron.,ML,Perceptron
What are the limitations of using a perceptron?,ML,Perceptron
How often do you use pre-trained models for your neural,DL,Pre-trained Models
How does Label Smoothing improve generalization?,DL,Regularization
How does Weight Decay differ from L2 Regularization?,ML,Regularization
What is Label Smoothing?,DL,Regularization
What is Weight Decay?,ML,Regularization
How do neural networks learn useful representations?,DL,Representation Learning
What is Feature Learning in Deep Learning?,DL,Representation Learning
What is Representation Learning?,DL,Representation Learning
What is the importance of having residual neural,DL,Residual Neural Networks
How does Self-Supervised Learning differ from Supervised Learning?,DL,Self-Supervised Learning
What is BYOL?,DL,Self-Supervised Learning
What is Self-Supervised Learning?,DL,Self-Supervised Learning
Explain Siamese Networks.,DL,Siamese Networks
How do Siamese Networks learn similarity?,DL,Siamese Networks
Why Sigmoid or Tanh is not preferred to be used as the,DL,Sigmoid vs Tanh
What is the advantage of using small kernels like 3x3,CV,Small Kernels
What is FP16 training?,DL,Training Optimization
What is Gradient Accumulation?,DL,Training Optimization
What is Mixed Precision Training?,DL,Training Optimization
When should Gradient Accumulation be used?,DL,Training Optimization
Why is Mixed Precision Training useful?,DL,Training Optimization
How does Curriculum Learning improve convergence?,DL,Training Strategies
What is Curriculum Learning?,DL,Training Strategies
What are the benefits of Transfer Learning?,DL,Transfer Learning
What do you understand by transfer learning?,DL,Transfer Learning
What is Domain Adaptation?,DL,Transfer Learning
What is Fine-Tuning in Transfer Learning?,DL,Transfer Learning
What is Transfer Learning in Deep Learning?,DL,Transfer Learning
When should feature extraction be preferred over fine-tuning?,DL,Transfer Learning
Compare absolute positional encoding and relative positional encoding.,DL,Transformers
Explain the role of residual connections in Transformers.,DL,Transformers
How do encoder-only and decoder-only Transformers differ?,DL,Transformers
How does masking work in Transformer decoders?,DL,Transformers
How does positional encoding help a Transformer understand word order?,DL,Transformers
What challenges arise when training very deep Transformer models?,DL,Transformers
What is the purpose of layer normalization in Transformers?,DL,Transformers
Why are Transformers easier to parallelize than RNNs?,DL,Transformers
Why does self-attention scale quadratically with sequence length?,DL,Transformers
Why is attention considered a content-based retrieval mechanism?,DL,Transformers
Which one do you think is more powerful – a two-layer NN,DL,Two-layer NN
Compare CNNs and Vision Transformers.,CV,Vision Transformers
How does a Vision Transformer process images?,CV,Vision Transformers
What is a Vision Transformer?,CV,Vision Transformers
Why are Vision Transformers becoming popular?,CV,Vision Transformers
How does CLIP learn image-text relationships?,CV,Vision-Language Models
What is CLIP in Deep Learning?,CV,Vision-Language Models
What is Zero-Shot Learning?,DL,Zero-Shot Learning
How would you conduct an A/B Test on an opt-in feature?,ML,A/B Testing
What is A/B testing?,ML,A/B Testing
Difference between AI and ML.,AI,AI vs ML
Difference between Accuracy and F1 Score.,ML,Accuracy vs F1 Score
What would be good metrics of success for an advertising-driven,ML,Advertising Metrics
Given a database of all previous alumni donations to your,ML,Alumni Donations
What is anomaly detection,ML,Anomaly Detection
What happens when some of the assumptions required,ML,Assumptions
Explain bagging in Data Science.,ML,Bagging
Bagging vs Boosting: explain the main differences.,ML,Bagging vs Boosting
Differentiate between bias and variance with respect to,ML,Bias vs Variance
What is a bias-variance trade-off in Data Science?,ML,Bias-Variance Trade-off
How to calculate the accuracy of a binary classification,ML,Binary Classification Accuracy
Write code to calculate the accuracy of a binary,ML,Binary Classification Accuracy
What are various ways to predict a binary response variable? Can,ML,Binary Response Variable
If you could take advantage of multiple CPU cores would you prefer a boosted-tree algorithm over a random forest,ML,Boosted Trees vs Random Forest
Explain boosting in Data Science.,ML,Boosting
Explain the Borel Measurable function.,ML,Borel Measurable Function
"Given accelerometer, altitude, and fuel usage data from a car, how",ML,Car Data Analysis
Give Python code for Clustering.,ML,Clustering
Solve a numerical problem based on Clustering.,ML,Clustering
What is Clustering in simple words?,ML,Clustering
Explain collaborative filtering in recommender systems.,ML,Collaborative Filtering
"Out of collaborative filtering and content-based filtering,",ML,Collaborative vs Content-Based Filtering
Build a confusion matrix for the model where the,ML,Confusion Matrix
What is a confusion matrix?,ML,Confusion Matrix
Write a function that when called with a confusion,ML,Confusion Matrix
Given data on congressional bills and which congressional,ML,Congressional Bills Data
What would be good metrics of success for a consumer product that,ML,Consumer Product Metrics
Explain content-based filtering in recommender systems.,ML,Content-Based Filtering
Difference between convex and non-convex cost function,ML,Cost Function
[Stripe - Medium] Say you model the lifetime for a set of customers using an,ML,Customer Lifetime Value
Explain DBSCAN algorithm,ML,DBSCAN Clustering
How do you generate arbitrary or random shape clusters,ML,DBSCAN Clustering
How can you make sure that you don’t analyze something that ends,ML,Data Analysis
What are advantages of plotting your data before per- forming,ML,Data Plotting
Is more data always better?.,ML,Data Quantity
"You have a stream of data coming in of size n, but you don’t know",ML,Data Stream
(Given a Dataset) Analyze this dataset and give me a model that can,ML,Dataset Analysis
(Given a Dataset) Analyze this dataset and tell me what you can,ML,Dataset Analysis
"From the below given ‘diamonds’ dataset, extract only",ML,Dataset Extraction
What are the commonly used techniques to deal with the,ML,Dealing with Data
Build a decision tree model on ‘Iris’ dataset where the,ML,Decision Tree
Give short viva answers for Decision Tree.,ML,Decision Tree
What do you understand by a decision tree?,ML,Decision Tree
Write a 10-mark answer on Decision Tree for exam.,ML,Decision Tree
Both decision trees and deep neural networks are non-linear classifier ie they separates the space by complicated decision boundary Why then it is so much easier for us to intuitively follow a decision tree model vs a deep neural network,ML,Decision Tree vs Deep Neural Network
which one is more powerful a layer decision tree or a -layer neural network without any activation function --> Hint non-linearity,ML,Decision Tree vs Neural Network
Explain Decision Tree with a basic example.,ML,Decision Trees
Give a project idea based on Decision Tree.,ML,Decision Trees
Is pruning always a good method to construct a tree,ML,Decision Trees
What are Decision Trees?,ML,Decision Trees
What is pruning in Decision Tree,ML,Decision Trees
What is the benefit of dimensionality reduction?,ML,Dimensionality Reduction
What is Euclidean and Manhatten distance,ML,Distance Metrics
Name any one distance based algorithm,ML,Distance-Based Algorithms
What would be good metrics of success for an e-commerce product?,ML,E-commerce Product Metrics
Difference between bagging boosting and the relation to bayes theorem,ML,Ensemble Learning
Is it a good idea to combine multiple trees,ML,Ensemble Learning
What is ensemble learning?,ML,Ensemble Learning
What is the difference between bagging and boosting,ML,Ensemble Learning
What is the main idea behind ensemble learning? If I had many,ML,Ensemble Learning
What is entropy in a decision tree algorithm?,ML,Entropy
What error metric would you use to evaluate how good a binary,ML,Error Metric
What is the difference between an error and a residual,ML,Error vs Residual
"Calculate the errors, i.e., the differences between the actual and the predicted values",ML,Errors
Write a function to calculate the Euclidean distance,ML,Euclidean Distance
What evaluation approaches do you use to gauge the,ML,Evaluation Approaches
What is the F1 Score and how is it calculated?,ML,F1 Score
Say you are working on Facebook News Feed. What would be some,ML,Facebook News Feed
How would you design the people you may know feature on,ML,Feature Design
What about Ordinal Features?,ML,Feature Engineering
What are categorical variables and what do we do with categorical variables,ML,Feature Engineering
What are dummy variables,ML,Feature Engineering
Are there differences between continuous and discrete variables when it comes to Feature Importance in Gradient Boosting models?,ML,Feature Importance
How can we know which features are more important for a Decision Tree model?,ML,Feature Importance
How can you determine which features are the most important in,ML,Feature Importance
What are the possible options for Feature Importance in Gradient Boosting Trees?,ML,Feature Importance
How to compute Feature Scaling in an ML numerical?,ML,Feature Scaling
You want to run a regression to predict the probability of a flight,ML,Flight Probability Prediction
How would you suggest to a franchise where to open a new store?,ML,Franchise Location
When would you use GD over SDG and vice-versa,ML,GD vs SGD
How could you use GPS data from a car to determine the quality of,ML,GPS Data Analysis
"Given location data of golf balls in games, how would construct a",ML,Golf Balls Data Analysis
How do you select the number of trees in a Gradient Boosting model?,ML,Gradient Boosting
Is it possible to parallelize training of a Gradient Boosting model?,ML,Gradient Boosting
What are the main parameters in the Gradient Boosting model?,ML,Gradient Boosting
What is Gradient Boosting Trees?,ML,Gradient Boosting
How does GBDTs decide to split a node What does it minimize,ML,Gradient Boosting Decision Trees
Do gradient descent methods always converge at the same point,ML,Gradient Descent
What is gradient descent How does it work,ML,Gradient Descent
"What is the difference between stochastic gradient descent SGD and gradient descent GD, Batch gradient descent, Stochastic gradient descent, Mini-batch gradient descent , what are the pros and cons for each of them",ML,Gradient Descent Variants
You have data on all purchases of customers at a grocery store.,ML,Grocery Store Purchases
You’re a restaurant and are approached by Groupon to run a deal.,ML,Groupon Deal
Suppose you are Uber and you want to design a heatmap to,ML,Heatmap Design
What are the commonly used approaches to set the,ML,Hyperparameter Tuning
Can you name a few hyperparameters used for training a,ML,Hyperparameters
How do you bring balance to the force when handling,ML,Imbalanced Data
How would you handle an imbalanced dataset,ML,Imbalanced Learning
Undersampling vs Oversampling,ML,Imbalanced Learning
What is the class imbalance problem,ML,Imbalanced Learning
What information is gained in a decision tree algorithm?,ML,Information Gain
What are the different types of joins? What are the differences,ML,Joins
What is k-fold cross-validation?,ML,K-Fold Cross-Validation
Give a project idea based on K-Means.,ML,K-Means
How can we select an appropriate value of k in k-means?,ML,K-Means
Does Kmeans and Kmeans++ is same,ML,K-Means Clustering
Give short viva answers for K-Means.,ML,K-Means Clustering
Summarize K-Means for quick revision.,ML,K-Means Clustering
What are some disadvantages of K-means,ML,K-Means Clustering
What is K-means How can you select K for K-means,ML,K-Means Clustering
Write a 10-mark answer on K-Means for exam.,ML,K-Means Clustering
Do we call Knn a lazy algorithm,ML,K-Nearest Neighbors
What is the objective function for Knn,ML,K-Nearest Neighbors
Find the answer for this KNN numerical problem.,ML,KNN
Give concise revision notes on KNN.,ML,KNN
Give quick interview-style questions on KNN.,ML,KNN
How can I build a basic KNN model?,ML,KNN
What is a kernel function in SVM?,ML,Kernel Function
Mention the different kernel functions that can be used,ML,Kernel Functions
Why is lightGBM prone to overfitting,ML,LightGBM
What are the disadvantages of linear regression,ML,Linear Regression
What do you understand about linear regression?,ML,Linear Regression
What is linear regression Why is it called linear,ML,Linear Regression
Your linear regression didn’t run and communicates that there are,ML,Linear Regression
[Two Sigma - Easy] Say you are running a Multiple Linear Regression and believe...,ML,Linear Regression
What are the assumptions required for linear,ML,Linear Regression Assumptions
Ask me viva questions on Logistic Regression.,ML,Logistic Regression
Build a logistic regression model on the ‘customer_churn’,ML,Logistic Regression
Give Python code for Logistic Regression.,ML,Logistic Regression
Implement logistic regression on this ‘heart’ dataset in R,ML,Logistic Regression
What do you understand by logistic regression?,ML,Logistic Regression
What is Logistic Regression in simple words?,ML,Logistic Regression
Difference between MSE and Cross Entropy Loss.,ML,MSE vs Cross Entropy Loss
Calculate the result for a Machine Learning question step by step.,ML,Machine Learning
Explain Machine Learning with a basic example.,ML,Machine Learning
Give a project idea based on Machine Learning.,ML,Machine Learning
Give short viva answers for Machine Learning.,ML,Machine Learning
How to implement Machine Learning using Python?,ML,Machine Learning
Summarize Machine Learning for quick revision.,ML,Machine Learning
How would you build a model to predict a March Madness bracket?,ML,March Madness Prediction
How to compute an inverse matrix faster by playing around with some computational tricks,ML,Matrix Inverse
What is maximum likelihood estimation? Could there be any case,ML,Maximum Likelihood Estimation
Calculate the mean of these squared errors,ML,Mean Squared Error
A certain metric is violating your expectations by going down or up,ML,Metric Violation
Give a simple mathematical argument why a mini-batch version of such ML algorithm might be computationally more efficient than a training with full data set,ML,Mini Batch Gradient Descent
"When using mini batch gradient descent, why is it important to shuffle the data",ML,Mini Batch Gradient Descent
How can we handle missing data?,ML,Missing Data
How do you deal with some of your predictors being missing?,ML,Missing Predictors
Introduce 25 percent missing values in this ‘iris’ dataset,ML,Missing Values
What are some differences you would expect in a model that,ML,Model Differences
What is more important to you the performance of your,ML,Model Performance
"Given the dataset, how will you decide which deep",ML,Model Selection
How will you differentiate between a multi-class and,ML,Multi-class Classification
What is multi-task learning When should it be used,ML,Multi-task Learning
What happens to our Linear Regression model if z = x + y?,ML,Multicollinearity
What happens when we have correlated features in our data?,ML,Multicollinearity
"Given position data of NBA players in a season’s games, how would",ML,NBA Players Data Analysis
Explain Naive Bayes step by step for beginners.,ML,Naive Bayes
How should I make a mini project on Naive Bayes?,ML,Naive Bayes
List key terms related to Naive Bayes.,ML,Naive Bayes
What does the word ‘Naive’ mean in Naive Bayes?,ML,Naive Bayes
What should I say if examiner asks about Naive Bayes?,ML,Naive Bayes
Write important theory points about Naive Bayes.,ML,Naive Bayes
Say that you are Netflix. How would you determine what original,ML,Netflix Original
How do one-hot encoding and label encoding affect the,ML,One-hot vs Label Encoding
What is the difference between online and batch learning,ML,Online vs Batch Learning
"Given a list of numbers, can you return the outliers?",ML,Outliers
How can we deal with outliers?,ML,Outliers
What are some ways I can make my model more robust to outliers?,ML,Outliers
How does PCA work in machine learning?,ML,PCA
You have several variables that are positively correlated with your,ML,Positively Correlated Variables
"In the following confusion matrix, calculate precision",ML,Precision
What is precision?,ML,Precision
Precision vs Recall: explain the main differences.,ML,Precision vs Recall
Let’s say you’re given an unfeasible number of predictors in a,ML,Predictors
"Now you have a feasible number of predictors, but you are sure",ML,Predictors
Why might it be preferable to include fewer predictors over many?,ML,Predictors
Describe the difference between primary keys and foreign keys in a,ML,Primary vs Foreign Keys
What would be good metrics of success for a product that o ered in-,ML,Product Metrics
What would be good metrics of success for a productivity tool?,ML,Productivity Tool Metrics
What is pruning in a decision tree algorithm?,ML,Pruning
What is R2? What are some other metrics that could be better than,ML,R2
Calculate the RMSE values for the model building.,ML,RMSE
What is RMSE?,ML,RMSE
Build an ROC curve for the model built,ML,ROC Curve
What is the ROC curve?,ML,ROC Curve
"Build a random forest model on top of this ‘CTG’ dataset,",ML,Random Forest
Explain Random Forest in exam-oriented language.,ML,Random Forest
Give a solved example of Random Forest.,ML,Random Forest
How do we know how many trees we need in Random Forest?,ML,Random Forest
How do we select the depth of trees in Random Forest?,ML,Random Forest
Is it easy to parallelize training of a Random Forest model?,ML,Random Forest
Prepare methodology for a project on Random Forest.,ML,Random Forest
What are common oral exam questions from Random Forest?,ML,Random Forest
What are the main parameters of the Random Forest model?,ML,Random Forest
What are the potential problems with many large trees?,ML,Random Forest
What do you understand by a random forest model?,ML,Random Forest
"What if instead of finding the best split, we randomly select a few splits and choose the best among them?",ML,Random Forest
What is Random Forest?,ML,Random Forest
Why do we need randomization in Random Forest?,ML,Random Forest
Write a simple program for Random Forest.,ML,Random Forest
What's the difference between Random Forest and Gradient Boosting?,ML,Random Forest vs Gradient Boosting
What is a recall?,ML,Recall
How is matrix factorization useful in recommendation systems,ML,Recommendation Systems
What are Recommender Systems,ML,Recommendation Systems
What is a recommendation engine How does it work,ML,Recommendation Systems
Let's say you're building the recommended music engine at Spotify,ML,Recommended Music Engine
Explain the formula-based calculation of Regression.,ML,Regression
How should I make a mini project on Regression?,ML,Regression
List key terms related to Regression.,ML,Regression
Loss functions in regression,ML,Regression
Provide beginner-friendly code for Regression.,ML,Regression
What is the difference between an error and a residual error,ML,Regression
What should I say if examiner asks about Regression?,ML,Regression
Write important theory points about Regression.,ML,Regression
What are MSE and RMSE,ML,Regression Evaluation Metrics
What does it mean to have low MAE and high MSE,ML,Regression Evaluation Metrics
What is the R-Suared value,ML,Regression Evaluation Metrics
What is the difference between R-suare and Adjusted R-suare,ML,Regression Evaluation Metrics
"You run your regression on different subsets of your data, and find",ML,Regression Subsets
Difference between Regression and Classification.,ML,Regression vs Classification
How does Regularization work in machine learning?,ML,Regularization
What is regularization and where might it be helpful? What is an,ML,Regularization
What does root cause analysis mean?,ML,Root Cause Analysis
Return the square root of the mean,ML,Root Mean Square
Write code to calculate the root mean square error,ML,Root Mean Square Error
For online learning which one would you prefer SGD or Adagrad and why,ML,SGD vs Adagrad
What are the advantages and disadvantages of SGD over gradient descent,ML,SGD vs Gradient Descent
Can you explain the main idea behind SVM?,ML,SVM
Give a long answer on SVM with introduction and conclusion.,ML,SVM
How to compute SVM in an ML numerical problem?,ML,SVM
Prepare me for viva on SVM.,ML,SVM
Difference between SVM and KNN.,ML,SVM vs KNN
Make a scatter plot between ‘price’ and ‘carat’ using,ML,Scatter Plot
Implement simple linear regression in Python on this,ML,Simple Linear Regression
Implement simple linear regression in R on this ‘mtcars’,ML,Simple Linear Regression
How would you predict who someone may want to send a Snapchat,ML,Snapchat Prediction
How could you collect and analyze data to use social media to,ML,Social Media Analysis
How would you measure the impact that sponsored stories on,ML,Sponsored Stories Impact
Square each of these errors,ML,Squared Errors
Explain stacking in Data Science.,ML,Stacking
How to compute standard error of median in a simple way,ML,Statistics
What is the standard error of the mean,ML,Statistics
You are tasked with improving the e ciency of a subway system.,ML,Subway System Efficiency
Why do we use the summary function?,ML,Summary Function
How to compute Supervised Learning in an ML numerical?,ML,Supervised Learning
Does Radial basis kernel function is there in SVM,ML,Support Vector Machines
How do support vector machine algorithms work,ML,Support Vector Machines
What is the role of gamma in RBF kernels,ML,Support Vector Machines
Which algorithm uses margin to classify the classes,ML,Support Vector Machines
Why does training an SVM takes a long time How can I speed up,ML,Support Vector Machines
Which algorithm takes the data to the next dimension and then classify,ML,Support Vector Machines (Kernel Trick)
You have 5000 people that rank 10 kinds of sushi in terms of,ML,Sushi Ranking
What could be some issues if the distribution of the test data is,ML,Test Data Distribution
How to detect if the time series data is stationary?,ML,Time Series Stationarity
What is the role of trial and error in data analysis? What is the role of,ML,Trial and Error
How would you quantify the influence of a Twitter user?,ML,Twitter User Influence
"You are on the data science team at Uber, and you are asked to",ML,Uber Data Science
"Explain univariate, bivariate, and multivariate analyses.",ML,"Univariate, Bivariate, Multivariate Analyses"
How does an XGB control overfitting,ML,XGBoost
How do you approach tuning parameters in XGBoost or LightGBM?,ML,XGBoost and LightGBM
Why do we use p-value?,ML,p-value
What improvements does ALBERT introduce?,NLP,ALBERT
What is ALBERT?,NLP,ALBERT
Explain Automatic Speech Recognition (ASR).,NLP,ASR
Explain adversarial attacks in NLP.,NLP,Adversarial NLP
What do you mean by ambiguity in natural language? Explain with suitable examples. Discuss various ways to resolve ambiguity in NLP.,NLP,Ambiguity in NLP
What is aspect-based sentiment analysis?,NLP,Aspect-Based Sentiment Analysis
Explain Bahdanau Attention.,NLP,Attention
Explain Luong Attention.,NLP,Attention
Explain scaled dot-product attention.,NLP,Attention
How does attention improve seq2seq models?,NLP,Attention Mechanism
What is speech recognition?,NLP,Automatic Speech Recognition
On a simplified and fundamental scale what makes the newly developed BERT model better than traditional NLP models,NLP,BERT
BERT vs DistilBERT: explain the main differences.,NLP,BERT vs DistilBERT
Explain BERTopic.,NLP,BERTopic
What are the advantages and disadvantages of bag of words?,NLP,Bag of Words
What is bag of words? How can we use it for text classification?,NLP,Bag of Words
What is bag of words? How can we use it for text vectorization?,NLP,Bag of Words
What is the purpose of the Bag-of-Words model in NLP?,NLP,Bag of Words
Write a short note on Bag of Words.,NLP,Bag of Words
What is beam search in NLP?,NLP,Beam Search
Explain the CoNLL benchmark.,NLP,Benchmarks
What problem does Bi-LSTM solve instead of only LSTM?,NLP,Bi-LSTM
What are biases in language models?,NLP,Bias in NLP
"For infrequent/rare words, which among CBOW and Skip-Gram should be used?",NLP,CBOW vs Skip-Gram
How can we use CNN for text classification?,NLP,CNN for NLP
How can we use CNNs for text classification?,NLP,CNN for NLP
What are Conditional Random Fields (CRFs)?,NLP,CRF
Why are CRFs preferred over HMMs?,NLP,CRF vs HMM
What are some advantages of using character embeddings instead of word embeddings?,NLP,Character Embeddings
Task-oriented chatbot vs open-domain chatbot.,NLP,Chatbots
Difference between chunking and parsing.,NLP,Chunking
What is chunking in NLP?,NLP,Chunking
Challenges in code-mixed text processing.,NLP,Code-Mixed NLP
Explain code-mixed NLP.,NLP,Code-Mixed NLP
[Facebook - Easy] Facebook has a content team that labels pieces of content on,NLP,Content Labeling
Explain hate speech detection.,NLP,Content Moderation
Explain toxicity detection.,NLP,Content Moderation
How would you construct a feed to show relevant content for a site,NLP,Content Recommendation Systems
Let's say that you are scheduling content for a content provider...,NLP,Content Recommendation Systems
Explain context-free grammar (CFG).,NLP,Context-Free Grammar
Explain conversational AI architecture.,NLP,Conversational AI
Differentiate between anaphora and coreference resolution.,NLP,Coreference Resolution
Explain coreference resolution with examples.,NLP,Coreference Resolution
What is anaphora resolution?,NLP,Coreference Resolution
What is the purpose of a corpus in NLP?,NLP,Corpus
What is cross-lingual learning?,NLP,Cross-Lingual NLP
Explain Direct Preference Optimization (DPO).,NLP,DPO
Explain DeBERTa.,NLP,DeBERTa
Greedy Search vs Beam Search.,NLP,Decoding
Greedy decoding vs top-k vs top-p sampling.,NLP,Decoding
How can you use neural networks for text classification?,NLP,Deep Learning for NLP
Explain dense retrieval.,NLP,Dense Retrieval
What is dependency parsing?,NLP,Dependency Parsing
Explain dialogue systems.,NLP,Dialogue Systems
Intent detection vs slot filling.,NLP,Dialogue Systems
What is discourse analysis in NLP?,NLP,Discourse Analysis
What is discourse coherence?,NLP,Discourse Analysis
What is Document AI?,NLP,Document AI
Explain document classification.,NLP,Document Classification
What is document clustering?,NLP,Document Clustering
Explain OCR and its role in NLP.,NLP,Document NLP
Which method is used to calculate the similarity between two documents based on their content?,NLP,Document Similarity
Explain document understanding.,NLP,Document Understanding
